iter	Logloss
0	0.689969849
1	0.6860948946
2	0.6834717661
3	0.6808751784
4	0.6788395782
5	0.6760467875
6	0.6736918765
7	0.6708062796
8	0.6675842112
9	0.6643018858
10	0.6614109288
11	0.6579739838
12	0.6559706734
13	0.6525261639
14	0.6485684749
15	0.6459019475
16	0.6430000111
17	0.6409244699
18	0.6378785909
19	0.6351905801
20	0.6318358943
21	0.6298109276
22	0.6271156549
23	0.6247134114
24	0.6226073095
25	0.6194185684
26	0.617381412
27	0.6148341019
28	0.6116590635
29	0.6094286003
30	0.606945308
31	0.6037434694
32	0.6013345691
33	0.5988591008
34	0.5968767982
35	0.5949969413
36	0.5925114013
37	0.5899930527
38	0.588006903
39	0.5853879242
40	0.5832476737
41	0.5811487473
42	0.5784798425
43	0.576876978
44	0.5747992756
45	0.5722076157
46	0.5706321997
47	0.5692559261
48	0.5677657087
49	0.5656712346
50	0.5639380004
51	0.5612304947
52	0.5597310269
53	0.5578743392
54	0.5556014712
55	0.5533642647
56	0.5514466715
57	0.5498820621
58	0.5480017297
59	0.5466151251
60	0.5444035949
61	0.5425210148
62	0.540588206
63	0.5386956839
64	0.5370291907
65	0.5360716909
66	0.5345331035
67	0.5320457912
68	0.5305491331
69	0.5283650947
70	0.5261475993
71	0.5244929932
72	0.5233812197
73	0.5224400161
74	0.5213438904
75	0.5196253963
76	0.5180434965
77	0.5164795786
78	0.5148318023
79	0.5129075091
80	0.5105389387
81	0.5094480433
82	0.5082196028
83	0.5063332188
84	0.5047959282
85	0.5034443366
86	0.501928832
87	0.5004301855
88	0.498713334
89	0.4971217083
90	0.4954553015
91	0.4936165958
92	0.4910592141
93	0.4900202765
94	0.4886002149
95	0.4869848149
96	0.4859132416
97	0.4850564152
98	0.4825514666
99	0.4815026302
100	0.4794096258
101	0.478286138
102	0.476617008
103	0.4752207208
104	0.4737251433
105	0.4728237076
106	0.4715920251
107	0.4700224015
108	0.468648073
109	0.4675529847
110	0.465851003
111	0.4648752186
112	0.4638981806
113	0.4630228967
114	0.4620335393
115	0.46076023
116	0.4596540327
117	0.4578409168
118	0.4566027071
119	0.4553790214
120	0.4545250047
121	0.4536542163
122	0.4522352354
123	0.4512522322
124	0.4498143183
125	0.4489950553
126	0.4476124707
127	0.4468211317
128	0.4460421986
129	0.4448970114
130	0.4436246532
131	0.4425318559
132	0.4411986786
133	0.4395054285
134	0.4387323309
135	0.4367198566
136	0.4356473323
137	0.4347972492
138	0.4340925784
139	0.4329515409
140	0.4317819741
141	0.4307964638
142	0.4290513425
143	0.4275470766
144	0.426293392
145	0.4249594367
146	0.4241230994
147	0.4232441413
148	0.422663097
149	0.4215028239
150	0.4204373022
151	0.4194724107
152	0.4182425437
153	0.4167812877
154	0.4152708405
155	0.4137376131
156	0.4128788848
157	0.4121691998
158	0.4116049272
159	0.4105344778
160	0.4094779039
161	0.4082298387
162	0.4072073701
163	0.4061294426
164	0.405293235
165	0.4042141836
166	0.4033515217
167	0.4024601145
168	0.4018143176
169	0.4012359965
170	0.4003864321
171	0.3994691325
172	0.3985000913
173	0.397254879
174	0.3964944034
175	0.3952631099
176	0.3947459969
177	0.3937170445
178	0.3928142256
179	0.3922939571
180	0.3916661854
181	0.389936539
182	0.3893056118
183	0.3884608023
184	0.3877677593
185	0.3870378878
186	0.3862869219
187	0.3853865669
188	0.3839973255
189	0.3829962971
190	0.3822018891
191	0.3815539309
192	0.3806316603
193	0.3795682999
194	0.3783879699
195	0.3773719852
196	0.3769296965
197	0.3762283109
198	0.3756519782
199	0.3746298555
200	0.3743144784
201	0.373569348
202	0.3726026411
203	0.3717937091
204	0.3711534019
205	0.3699008844
206	0.3686714497
207	0.3678110787
208	0.3672640101
209	0.3663401401
210	0.3652093039
211	0.3643492788
212	0.3638629427
213	0.3626740972
214	0.361877355
215	0.3612275596
216	0.360928522
217	0.360347456
218	0.359623809
219	0.3586182419
220	0.3580396398
221	0.3570293178
222	0.3564248234
223	0.3556681733
224	0.3549099239
225	0.3541198385
226	0.3531990375
227	0.3526596199
228	0.3519600282
229	0.3513098871
230	0.3502849114
231	0.3497002361
232	0.34883792
233	0.3481895295
234	0.3470164615
235	0.3461859598
236	0.3455869334
237	0.3448546196
238	0.344162117
239	0.343210604
240	0.3424318222
241	0.3417930279
242	0.3409232337
243	0.340391078
244	0.3396024623
245	0.33891921
246	0.3381428489
247	0.3376128113
248	0.337151957
249	0.3365022697
250	0.33568774
251	0.3349856628
252	0.334480264
253	0.3340388182
254	0.3332576157
255	0.3327401785
256	0.331958587
257	0.33117049
258	0.3306970569
259	0.3302606253
260	0.3296657054
261	0.3287512804
262	0.3281410152
263	0.3276738931
264	0.3270403724
265	0.3263365013
266	0.3256237905
267	0.3249678139
268	0.3239807691
269	0.3229868081
270	0.3224756171
271	0.3219412785
272	0.321131763
273	0.3205769569
274	0.3199798108
275	0.319421525
276	0.3186875254
277	0.3179062149
278	0.3171188744
279	0.3166157017
280	0.3159310662
281	0.314906458
282	0.3141573509
283	0.3135509977
284	0.3130215221
285	0.3124935593
286	0.3115818791
287	0.3104919131
288	0.3096844941
289	0.308875735
290	0.308299251
291	0.3073525361
292	0.3067358736
293	0.3060074069
294	0.3054551943
295	0.3047854502
296	0.3044469471
297	0.3032497374
298	0.3026527426
299	0.3018424491
